"2005","40-44 years",61.0,5744,9409671
"2005","45-49 years",93.3,8496,9106246
"2005","50-54 years",113.7,9132,8033553
"2005","55-59 years",142.9,9900,6925808
"2005","60-64 years",179.9,9135,5079026
"2005","65-69 years",203.4,7957,3911467
"2005","70-74 years",226.2,7336,3243277
"2005","75-79 years",252.1,7015,2782321
"2005","80-84 years",268.6,5658,2106153
"2005","85-89 years",259.7,3009,1158559
"2005","90+ years",252.7,1532,606218
"2005","Unknown",~,0,0
"2006","00 years",0.0,0,1749458
"2006","01-04 years",0.0,0,6876572
"2006","05-09 years",0.0,0,8294219
"2006","10-14 years",0.0,1,8977699
"2006","15-19 years",0.2,16,9144509
"2006","20-24 years",0.8,68,8859505
"2006","25-29 years",4.3,375,8698148
"2006","30-34 years",13.4,1115,8305087
"2006","35-39 years",30.5,2714,8900798
"2006","40-44 years",61.8,5734,9273132
"2006","45-49 years",94.6,8735,9236227
"2006","50-54 years",112.4,9263,8240115
"2006","55-59 years",141.2,10248,7257731
"2006","60-64 years",179.3,9416,5250860
"2006","65-69 years",212.0,8507,4012520
"2006","70-74 years",229.9,7496,3259852
"2006","75-79 years",250.9,6969,2777861
"2006","80-84 years",256.1,5428,2119446
"2006","85-89 years",256.3,3081,1201953
"2006","90+ years",241.0,1515,628671
"2006","Unknown",~,0,0
"2007","00 years",0.0,0,1799552
"2007","01-04 years",0.0,0,6908674
"2007","05-09 years",0.0,0,8367915
"2007","10-14 years",0.0,0,8902152
"2007","15-19 years",0.1,8,9277259
"2007","20-24 years",1.0,90,8894696
"2007","25-29 years",4.4,392,8873199
"2007","30-34 years",13.4,1110,8282434
"2007","35-39 years",29.8,2660,8912297
"2007","40-44 years",62.7,5706,9105406
"2007","45-49 years",96.6,8977,9291489
"2007","50-54 years",115.3,9784,8484598
"2007","55-59 years",142.5,10377,7280310
"2007","60-64 years",183.3,10456,5704059
"2007","65-69 years",224.9,9376,4168363
"2007","70-74 years",229.7,7563,3292283
"2007","75-79 years",253.9,7026,2766958
"2007","80-84 years",263.8,5627,2132944
"2007","85-89 years",255.4,3187,1247870
"2007","90+ years",233.3,1519,651084
"2007","Unknown",~,0,0
"2008","00 years",0.0,0,1803562
"2008","01-04 years",0.0,0,6983318
"2008","05-09 years",0.0,1,8491665
"2008","10-14 years",0.0,1,8853013
"2008","15-19 years",0.1,7,9367188
"2008","20-24 years",0.9,81,8960995
"2008","25-29 years",4.4,395,9049760
"2008","30-34 years",13.6,1138,8355932
"2008","35-39 years",31.6,2801,8868009
"2008","40-44 years",62.3,5584,8957307
"2008","45-49 years",97.0,9052,9333805
"2008","50-54 years",116.7,10156,8700271
"2008","55-59 years",141.4,10523,7441621
"2008","60-64 years",184.3,11008,5974484
"2008","65-69 years",223.8,9863,4406388
"2008","70-74 years",234.5,7889,3363845
"2008","75-79 years",254.7,7014,2753621
"2008","80-84 years",255.8,5484,2143864
"2008","85-89 years",252.8,3263,1290589
"2008","90+ years",235.1,1582,672881
"2008","Unknown",~,0,0
"2009","00 years",0.1,2,1747065
"2009","01-04 years",0.0,0,7035008
"2009","05-09 years",0.0,0,8651590
"2009","10-14 years",0.0,1,8839321
"2009","15-19 years",0.1,9,9393843
"2009","20-24 years",0.8,69,9078589
"2009","25-29 years",4.6,419,9146195
"2009","30-34 years",13.3,1133,8516050
"2009","35-39 years",30.8,2699,8768999
"2009","40-44 years",63.2,5587,8837498
"2009","45-49 years",97.8,9181,9386866
"2009","50-54 years",118.1,10470,8868051
"2009","55-59 years",140.2,10717,7642563
"2009","60-64 years",182.9,11515,6294123
"2009","65-69 years",228.9,10543,4606552
"2009","70-74 years",242.1,8354,3450072
"2009","75-79 years",256.5,7048,2748148
"2009","80-84 years",265.9,5703,2145181
"2009","85-89 years",264.2,3531,1336707
"2009","90+ years",234.9,1634,695697
"2009","Unknown",~,0,0
"2010","00 years",0.0,0,1726009
"2010","01-04 years",0.0,0,7040800
"2010","05-09 years",0.0,0,8759349
"2010","10-14 years",0.0,0,8870094
"2010","15-19 years",0.1,13,9338690
"2010","20-24 years",0.6,59,9227752
"2010","25-29 years",4.7,434,9174417
"2010","30-34 years",13.5,1179,8708676
"2010","35-39 years",30.2,2604,8622063
"2010","40-44 years",61.0,5398,8850754
"2010","45-49 years",93.3,8699,9328640
"2010","50-54 years",109.6,9913,9045177
"2010","55-59 years",133.1,10472,7866282
"2010","60-64 years",177.1,11761,6641491
"2010","65-69 years",221.4,10599,4787937
"2010","70-74 years",236.5,8346,3528366
"2010","75-79 years",252.7,6970,2757929
"2010","80-84 years",254.7,5497,2158252
"2010","85-89 years",253.8,3482,1371963
"2010","90+ years",217.0,1575,725700
"2010","Unknown",~,0,0
"2011","00 years",0.0,0,1745947
"2011","01-04 years",0.0,1,7030945
"2011","05-09 years",0.0,1,8788543
"2011","10-14 years",0.0,0,8928304
"2011","15-19 years",0.1,5,9236302
"2011","20-24 years",0.8,71,9436142
"2011","25-29 years",4.6,428,9238101
"2011","30-34 years",14.6,1299,8906018
"2011","35-39 years",31.4,2662,8485535
"2011","40-44 years",61.7,5521,8942287
"2011","45-49 years",95.2,8755,9200848
"2011","50-54 years",112.7,10339,9171632
"2011","55-59 years",134.7,10903,8093564
"2011","60-64 years",178.3,12422,6965840
"2011","65-69 years",227.1,11256,4956462
"2011","70-74 years",241.0,8759,3633970
"2011","75-79 years",257.6,7163,2780330
"2011","80-84 years",252.4,5454,2160555
"2011","85-89 years",250.9,3456,1377286
"2011","90+ years",208.1,1590,764178
"2011","Unknown",~,0,0
"2012","00 years",0.0,0,1721512
"2012","01-04 years",0.0,0,7011808
"2012","05-09 years",0.0,0,8865555
"2012","10-14 years",0.0,1,8956317
"2012","15-19 years",0.1,13,9156512
